Vernier Format 2
l4uk.txt 11/9/2022 13:14:33
Run 1
Volume	pH	
5.429	3.88	
5.464	3.93	
5.500	3.96	
5.536	3.96	
5.571	3.96	
5.607	3.98	
5.643	4.01	
5.679	4.05	
5.714	4.09	
5.750	4.12	
5.786	4.17	
5.821	4.25	
5.857	4.31	
5.893	4.36	
5.929	4.41	
5.964	4.45	
6.000	4.49	
6.036	4.54	
6.071	4.58	
6.107	4.62	
6.143	4.67	
6.179	4.72	
6.214	4.78	
6.250	4.83	
6.286	4.87	
6.321	4.91	
6.357	4.95	
6.393	5.00	
6.429	5.04	
6.464	5.08	
6.500	5.12	
6.536	5.15	
6.571	5.18	
6.607	5.21	
6.643	5.24	
6.679	5.28	
6.714	5.31	
6.750	5.34	
6.786	5.37	
6.821	5.41	
6.857	5.46	
6.893	5.48	
6.929	5.51	
6.964	5.55	
7.000	5.58	
7.036	5.61	
7.071	5.63	
7.107	5.66	
7.143	5.69	
7.179	5.71	
7.214	5.76	
7.250	5.80	
7.286	5.82	
7.321	5.84	
7.357	5.86	
7.393	5.88	
7.429	5.90	
7.464	5.92	
7.500	5.94	
7.536	5.96	
7.571	5.98	
7.607	6.00	
7.643	6.01	
7.679	6.05	
7.714	6.07	
7.750	6.08	
7.786	6.09	
7.821	6.11	
7.857	6.12	
7.893	6.15	
7.929	6.17	
7.964	6.18	
8.000	6.20	
8.036	6.22	
8.071	6.23	
8.107	6.25	
8.143	6.26	
8.179	6.28	
8.214	6.30	
8.250	6.34	
8.286	6.36	
8.321	6.37	
8.357	6.39	
8.393	6.39	
8.429	6.40	
8.464	6.41	
8.500	6.43	
8.536	6.43	
8.571	6.45	
8.607	6.45	
8.643	6.47	
8.679	6.47	
8.714	6.48	
8.750	6.49	
8.786	6.50	
8.821	6.51	
8.857	6.52	
8.893	6.53	
8.929	6.55	
8.964	6.55	
9.000	6.56	
9.036	6.57	
9.071	6.58	
9.107	6.59	
9.143	6.59	
9.179	6.60	
9.214	6.60	
9.250	6.62	
9.286	6.63	
9.321	6.65	
9.357	6.66	
9.393	6.68	
9.429	6.69	
9.464	6.69	
9.500	6.71	
9.536	6.74	
9.571	6.75	
9.607	6.77	
9.643	6.78	
9.679	6.79	
9.714	6.79	
9.750	6.80	
9.786	6.81	
9.821	6.81	
9.857	6.82	
9.893	6.83	
9.929	6.84	
9.964	6.85	
10.000	6.86	
10.036	6.87	
10.071	6.88	
10.107	6.88	
10.143	6.89	
10.179	6.90	
10.214	6.91	
10.250	6.92	
10.286	6.93	
10.321	6.94	
10.357	6.96	
10.393	6.97	
10.429	6.99	
10.464	7.00	
10.500	7.02	
10.536	7.03	
10.571	7.04	
10.607	7.05	
10.643	7.06	
10.679	7.07	
10.714	7.08	
10.750	7.09	
10.786	7.10	
10.821	7.11	
10.857	7.12	
10.893	7.14	
10.929	7.15	
10.964	7.17	
11.000	7.18	
11.036	7.19	
11.071	7.21	
11.107	7.23	
11.143	7.25	
11.179	7.27	
11.214	7.28	
11.250	7.28	
11.286	7.28	
11.321	7.31	
11.357	7.32	
11.393	7.33	
11.429	7.36	
11.464	7.37	
11.500	7.39	
11.536	7.41	
11.571	7.46	
11.607	7.49	
11.643	7.52	
11.679	7.57	
11.714	7.62	
11.750	7.68	
11.786	7.72	
11.821	7.77	
11.857	7.81	
11.893	7.87	
11.929	7.92	
11.964	7.96	
12.000	8.02	
12.036	8.07	
12.071	8.15	
12.107	8.22	
12.143	8.28	
12.179	8.36	
12.214	8.43	
12.250	8.53	
12.286	8.54	
12.321	8.60	
12.357	8.71	
12.393	8.79	
12.429	8.86	
12.464	8.95	
12.500	9.04	
12.536	9.15	
12.571	9.23	
12.607	9.31	
12.643	9.42	
12.679	9.49	
12.714	9.59	
12.750	9.68	
12.786	9.78	
12.821	9.88	
12.857	9.96	
12.893	10.06	
12.929	10.13	
12.964	10.20	
13.000	10.29	
13.036	10.36	
13.071	10.43	
13.107	10.50	
13.143	10.57	
13.179	10.63	
13.214	10.69	
13.250	10.76	
13.286	10.82	
13.321	10.88	
13.357	10.94	
13.393	10.99	
13.429	11.03	
13.464	11.08	
13.500	11.12	
13.536	11.15	
13.571	11.20	
13.607	11.23	
13.643	11.27	
13.679	11.30	
13.714	11.33	
13.750	11.35	
13.786	11.38	
13.821	11.41	
13.857	11.43	
13.893	11.45	
13.929	11.48	
13.964	11.50	
14.000	11.53	
14.036	11.55	
14.071	11.57	
14.107	11.58	
14.143	11.60	
14.179	11.61	
14.214	11.63	
14.250	11.65	
14.286	11.67	
14.321	11.68	
14.357	11.70	
14.393	11.70	
14.429	11.72	
14.464	11.73	
14.500	11.73	
14.536	11.75	
14.571	11.75	
14.607	11.76	
14.643	11.76	
14.679	11.77	
14.714	11.78	
14.750	11.78	
14.786	11.79	
14.821	11.80	
14.857	11.80	
14.893	11.81	
14.929	11.82	
14.964	11.82	
15.000	11.83	
15.036	11.83	
15.071	11.83	
15.107	11.84	
15.143	11.85	
15.179	11.85	
15.214	11.86	
15.250	11.86	
15.286	11.86	
15.321	11.87	
15.357	11.87	
15.393	11.88	
15.429	11.88	
15.464	11.88	
15.500	11.89	
15.536	11.89	
15.571	11.89	
15.607	11.89	
15.643	11.90	
15.679	11.90	
15.714	11.90	
15.750	11.90	
15.786	11.91	
15.821	11.91	
15.857	11.91	
15.893	11.92	
15.929	11.92	
15.964	11.93	
16.000	11.93	
16.036	11.93	
16.071	11.93	
16.107	11.94	
16.143	11.94	
16.179	11.94	
16.214	11.95	
16.250	11.95	
16.286	11.95	
16.321	11.95	
16.357	11.96	
16.393	11.96	
16.429	11.96	
16.464	11.97	
16.500	11.97	
16.536	11.97	
16.571	11.98	
16.607	11.98	
16.643	11.98	
16.679	11.98	
16.714	11.98	
16.750	11.99	
16.786	11.99	
16.821	11.99	
16.857	11.99	
16.893	11.99	
16.929	11.99	
Vernier Format 2
l4uk.txt 11/9/2022 13:14:33
Run 2
Volume	pH	
V	p	
mL		

0.000	3.15	
0.036	3.15	
0.071	3.14	
0.107	3.14	
0.143	3.15	
0.179	3.15	
0.214	3.15	
0.250	3.15	
0.286	3.14	
0.321	3.14	
0.357	3.14	
0.393	3.15	
0.429	3.14	
0.464	3.15	
0.500	3.15	
0.536	3.15	
0.571	3.15	
0.607	3.15	
0.643	3.15	
0.679	3.15	
0.714	3.15	
0.750	3.15	
0.786	3.15	
0.821	3.15	
0.857	3.15	
0.893	3.15	
0.929	3.15	
0.964	3.15	
1.000	3.15	
1.036	3.15	
1.071	3.15	
1.107	3.15	
1.143	3.15	
1.179	3.16	
1.214	3.16	
1.250	3.16	
1.286	3.16	
1.321	3.16	
1.357	3.17	
1.393	3.17	
1.429	3.17	
1.464	3.17	
1.500	3.17	
1.536	3.18	
1.571	3.18	
1.607	3.18	
1.643	3.20	
1.679	3.20	
1.714	3.20	
1.750	3.20	
1.786	3.20	
1.821	3.20	
1.857	3.20	
1.893	3.20	
1.929	3.20	
1.964	3.21	
2.000	3.21	
2.036	3.21	
2.071	3.20	
2.107	3.20	
2.143	3.20	
2.179	3.21	
2.214	3.22	
2.250	3.22	
2.286	3.23	
2.321	3.24	
2.357	3.24	
2.393	3.24	
2.429	3.24	
2.464	3.24	
2.500	3.24	
2.536	3.24	
2.571	3.24	
2.607	3.24	
2.643	3.25	
2.679	3.27	
2.714	3.28	
2.750	3.29	
2.786	3.31	
2.821	3.33	
2.857	3.35	
2.893	3.34	
2.929	3.34	
2.964	3.33	
3.000	3.32	
3.036	3.31	
3.071	3.30	
3.107	3.30	
3.143	3.29	
3.179	3.31	
3.214	3.34	
3.250	3.34	
3.286	3.35	
3.321	3.36	
3.357	3.37	
3.393	3.36	
3.429	3.36	
3.464	3.36	
3.500	3.41	
3.536	3.46	
3.571	3.48	
3.607	3.50	
3.643	3.50	
3.679	3.49	
3.714	3.49	
3.750	3.49	
3.786	3.47	
3.821	3.44	
3.857	3.43	
3.893	3.42	
3.929	3.41	
3.964	3.43	
4.000	3.47	
4.036	3.52	
4.071	3.54	
4.107	3.55	
4.143	3.55	
4.179	3.55	
4.214	3.56	
4.250	3.56	
4.286	3.54	
4.321	3.53	
4.357	3.54	
4.393	3.54	
4.429	3.54	
4.464	3.55	
4.500	3.59	
4.536	3.61	
4.571	3.63	
4.607	3.65	
4.643	3.68	
4.679	3.75	
4.714	3.82	
4.750	3.81	
4.786	3.79	
4.821	3.79	
4.857	3.79	
4.893	3.80	
4.929	3.81	
4.964	3.82	
5.000	3.84	
5.036	3.89	
5.071	3.97	
5.107	4.01	
5.143	4.03	
5.179	4.07	
5.214	4.12	
5.250	4.18	
5.286	4.22	
5.321	4.27	
5.357	4.32	
5.393	4.37	
5.429	4.40	
5.464	4.43	
5.500	4.49	
5.536	4.55	
5.571	4.62	
5.607	4.70	
5.643	4.75	
5.679	4.82	
5.714	4.88	
5.750	4.93	
5.786	4.97	
5.821	5.00	
5.857	5.03	
5.893	5.07	
5.929	5.10	
5.964	5.13	
6.000	5.16	
6.036	5.20	
6.071	5.23	
6.107	5.25	
6.143	5.29	
6.179	5.31	
6.214	5.33	
6.250	5.36	
6.286	5.38	
6.321	5.39	
6.357	5.41	
6.393	5.45	
6.429	5.48	
6.464	5.51	
6.500	5.53	
6.536	5.54	
6.571	5.56	
6.607	5.57	
6.643	5.60	
6.679	5.61	
6.714	5.63	
6.750	5.65	
6.786	5.67	
6.821	5.69	
6.857	5.72	
6.893	5.74	
6.929	5.76	
6.964	5.77	
7.000	5.78	
7.036	5.80	
7.071	5.80	
7.107	5.82	
7.143	5.84	
7.179	5.88	
7.214	5.90	
7.250	5.93	
7.286	5.96	
7.321	5.99	
7.357	6.00	
7.393	6.03	
7.429	6.05	
7.464	6.06	
7.500	6.07	
7.536	6.08	
7.571	6.09	
7.607	6.10	
7.643	6.12	
7.679	6.14	
7.714	6.16	
7.750	6.17	
7.786	6.19	
7.821	6.20	
7.857	6.21	
7.893	6.24	
7.929	6.27	
7.964	6.29	
8.000	6.31	
8.036	6.33	
8.071	6.35	
8.107	6.36	
8.143	6.38	
8.179	6.41	
8.214	6.42	
8.250	6.43	
8.286	6.45	
8.321	6.47	
8.357	6.48	
8.393	6.49	
8.429	6.50	
8.464	6.51	
8.500	6.52	
8.536	6.52	
8.571	6.52	
8.607	6.52	
8.643	6.52	
8.679	6.52	
8.714	6.53	
8.750	6.54	
8.786	6.55	
8.821	6.56	
8.857	6.57	
8.893	6.58	
8.929	6.59	
8.964	6.59	
9.000	6.59	
9.036	6.59	
9.071	6.59	
9.107	6.60	
9.143	6.60	
9.179	6.60	
9.214	6.60	
9.250	6.61	
9.286	6.62	
9.321	6.63	
9.357	6.63	
9.393	6.63	
9.429	6.65	
9.464	6.65	
9.500	6.66	
9.536	6.67	
9.571	6.68	
9.607	6.70	
9.643	6.72	
9.679	6.74	
9.714	6.76	
9.750	6.77	
9.786	6.78	
9.821	6.79	
9.857	6.79	
9.893	6.79	
9.929	6.79	
9.964	6.80	
10.000	6.80	
10.036	6.81	
10.071	6.81	
10.107	6.83	
10.143	6.83	
10.179	6.84	
10.214	6.85	
10.250	6.86	
10.286	6.87	
10.321	6.87	
10.357	6.89	
10.393	6.91	
10.429	6.93	
10.464	6.94	
10.500	6.95	
10.536	6.96	
10.571	6.97	
10.607	6.98	
10.643	6.98	
10.679	7.00	
10.714	7.00	
10.750	7.01	
10.786	7.03	
10.821	7.04	
10.857	7.05	
10.893	7.06	
10.929	7.06	
10.964	7.07	
11.000	7.08	
11.036	7.10	
11.071	7.12	
11.107	7.14	
11.143	7.15	
11.179	7.16	
11.214	7.18	
11.250	7.18	
11.286	7.20	
11.321	7.26	
11.357	7.29	
11.393	7.33	
11.429	7.34	
11.464	7.37	
11.500	7.37	
11.536	7.38	
11.571	7.39	
11.607	7.40	
11.643	7.45	
11.679	7.48	
11.714	7.52	
11.750	7.56	
11.786	7.59	
11.821	7.63	
11.857	7.66	
11.893	7.69	
11.929	7.75	
11.964	7.79	
12.000	7.83	
12.036	7.94	
12.071	8.00	
12.107	8.05	
12.143	8.10	
12.179	8.16	
12.214	8.23	
12.250	8.30	
12.286	8.37	
12.321	8.46	
12.357	8.55	
12.393	8.63	
12.429	8.72	
12.464	8.81	
12.500	8.93	
12.536	9.02	
12.571	9.12	
12.607	9.21	
12.643	9.32	
12.679	9.44	
12.714	9.55	
12.750	9.63	
12.786	9.72	
12.821	9.79	
12.857	9.91	
12.893	10.01	
12.929	10.11	
12.964	10.18	
13.000	10.26	
13.036	10.33	
13.071	10.42	
13.107	10.48	
13.143	10.56	
13.179	10.63	
13.214	10.69	
13.250	10.76	
13.286	10.82	
13.321	10.88	
13.357	10.94	
13.393	11.00	
13.429	11.04	
13.464	11.10	
13.500	11.15	
13.536	11.19	
13.571	11.22	
13.607	11.26	
13.643	11.29	
13.679	11.32	
13.714	11.36	
13.750	11.38	
13.786	11.42	
13.821	11.46	
13.857	11.49	
13.893	11.53	
13.929	11.55	
13.964	11.57	
14.000	11.58	
14.036	11.60	
14.071	11.61	
14.107	11.62	
14.143	11.63	
14.179	11.65	
14.214	11.66	
14.250	11.67	
14.286	11.68	
14.321	11.70	
14.357	11.70	
14.393	11.71	
14.429	11.71	
14.464	11.72	
14.500	11.73	
14.536	11.74	
14.571	11.74	
14.607	11.75	
14.643	11.75	
14.679	11.76	
14.714	11.77	
14.750	11.77	
14.786	11.78	
14.821	11.79	
14.857	11.79	
14.893	11.80	
14.929	11.80	
14.964	11.81	
15.000	11.82	
15.036	11.82	
15.071	11.83	
15.107	11.83	
15.143	11.83	
15.179	11.84	
15.214	11.84	
15.250	11.84	
15.286	11.85	
15.321	11.85	
15.357	11.86	
15.393	11.86	
15.429	11.87	
15.464	11.87	
15.500	11.88	
15.536	11.88	
15.571	11.88	
15.607	11.88	
15.643	11.89	
15.679	11.89	
15.714	11.89	
15.750	11.92	
15.786	11.93	
