Vernier Format 2
l4hcl.txt 11/9/2022 12:51:2
Run 1
Volume	pH	
22.320	3.09	
22.467	3.10	
22.614	3.11	
22.761	3.12	
22.907	3.12	
23.054	3.12	
23.201	3.13	
23.348	3.14	
23.495	3.24	
23.642	3.22	
23.789	3.26	
23.935	3.23	
24.082	3.22	
24.229	3.24	
24.376	3.27	
24.523	3.28	
24.670	3.30	
24.816	3.33	
24.963	3.35	
25.110	3.35	
25.257	3.42	
25.404	3.45	
25.551	3.46	
25.698	3.54	
25.844	3.52	
25.991	3.52	
26.138	3.55	
26.285	3.60	
26.432	3.62	
26.579	3.75	
26.725	3.74	
26.872	3.78	
27.019	3.79	
27.166	3.93	
27.313	3.99	
27.460	4.01	
27.606	4.05	
27.753	4.07	
27.900	4.11	
28.047	4.16	
28.194	4.27	
28.341	4.34	
28.488	4.42	
28.634	4.49	
28.781	4.57	
28.928	4.64	
29.075	4.74	
29.222	4.87	
29.369	5.03	
29.515	5.19	
29.662	5.42	
29.809	5.67	
29.956	5.88	
30.103	6.08	
30.250	6.29	
30.396	6.47	
30.543	6.66	
30.690	6.85	
30.837	7.00	
30.984	7.18	
31.131	7.32	
31.278	7.45	
31.424	7.55	
31.571	11.08	
31.718	11.09	
31.865	11.10	
32.012	11.11	
32.159	11.13	
32.305	11.15	
32.452	11.16	
32.599	11.18	
32.746	11.20	
32.893	11.21	
33.040	11.22	
33.186	11.24	
33.333	11.27	
33.480	11.28	
33.627	11.30	
33.774	11.32	
33.921	11.34	
34.068	11.36	
34.214	11.38	
34.361	11.40	
34.508	11.41	
34.655	11.42	
34.802	11.43	
34.949	11.45	
35.095	11.46	
35.242	11.47	
35.389	11.49	
35.536	11.50	
35.683	11.52	
35.830	11.55	
35.977	11.55	
36.123	11.56	
36.270	11.56	
36.417	11.58	
36.564	11.59	
36.711	11.59	
36.858	11.60	
37.004	11.61	
37.151	11.61	
37.298	11.62	
37.445	11.63	
37.592	11.64	
37.739	11.65	
37.885	11.65	
38.032	11.66	
38.179	11.67	
38.326	11.67	
38.473	11.68	
38.620	11.69	
38.767	11.69	
38.913	11.70	
39.060	11.71	
39.207	11.71	
39.354	11.71	
39.501	11.72	
39.648	11.72	
39.794	11.73	
39.941	11.74	
40.088	11.74	
40.235	11.74	
40.382	11.75	
40.529	11.75	
40.675	11.76	
40.822	11.76	
40.969	11.77	
41.116	11.78	
41.263	11.78	
41.410	11.78	
41.557	11.79	
41.703	11.79	
41.850	11.80	
41.997	11.80	
42.144	11.80	
42.291	11.81	
42.438	11.81	
42.584	11.81	
42.731	11.82	
42.878	11.82	
43.025	11.82	
43.172	11.83	
43.319	11.84	
43.465	11.84	
43.612	11.84	
43.759	11.85	
43.906	11.85	
44.053	11.86	
44.200	11.86	
44.347	11.86	
44.493	11.87	
44.640	11.87	
44.787	11.88	
44.934	11.88	
45.081	11.88	
45.228	11.88	
45.374	11.89	
45.521	11.89	
45.668	11.90	
45.815	11.90	
45.962	11.90	
46.109	11.91	
46.256	11.91	
46.402	11.91	
46.549	11.91	
46.696	11.91	
46.843	11.92	
46.990	11.93	
47.137	11.93	
47.283	11.93	
47.430	11.93	
47.577	11.94	
47.724	11.94	
47.871	11.94	
48.018	11.95	
48.164	11.95	
48.311	11.95	
48.458	11.95	
48.605	11.96	
48.752	11.95	
48.899	11.96	
49.046	11.96	
49.192	11.97	
49.339	11.97	
49.486	11.97	
49.633	11.97	
49.780	11.97	
49.927	11.97	
50.073	11.98	
50.220	11.98	
50.367	11.99	
Vernier Format 2
l4hcl.txt 11/9/2022 12:51:3
Run 2
Volume	pH	
V	p	
mL		

0.000	2.83	
0.147	2.82	
0.294	2.82	
0.441	2.81	
0.587	2.82	
0.734	2.83	
0.881	2.83	
1.028	2.84	
1.175	2.84	
1.322	2.83	
1.468	2.83	
1.615	2.82	
1.762	2.83	
1.909	2.83	
2.056	2.84	
2.203	2.84	
2.349	2.83	
2.496	2.84	
2.643	2.83	
2.790	2.84	
2.937	2.84	
3.084	2.84	
3.231	2.85	
3.377	2.86	
3.524	2.87	
3.671	2.87	
3.818	2.87	
3.965	2.87	
4.112	2.87	
4.258	2.88	
4.405	2.89	
4.552	2.89	
4.699	2.89	
4.846	2.89	
4.993	2.89	
5.140	2.89	
5.286	2.88	
5.433	2.87	
5.580	2.87	
5.727	2.86	
5.874	2.85	
6.021	2.85	
6.167	2.85	
6.314	2.85	
6.461	2.85	
6.608	2.85	
6.755	2.85	
6.902	2.85	
7.048	2.85	
7.195	2.85	
7.342	2.85	
7.489	2.87	
7.636	2.89	
7.783	2.89	
7.930	2.88	
8.076	2.87	
8.223	2.87	
8.370	2.86	
8.517	2.86	
8.664	2.86	
8.811	2.86	
8.957	2.87	
9.104	2.88	
9.251	2.89	
9.398	2.89	
9.545	2.90	
9.692	2.90	
9.838	2.91	
9.985	2.90	
10.132	2.89	
10.279	2.88	
10.426	2.89	
10.573	2.88	
10.720	2.88	
10.866	2.88	
11.013	2.88	
11.160	2.89	
11.307	2.90	
11.454	2.90	
11.601	2.89	
11.747	2.90	
11.894	2.89	
12.041	2.89	
12.188	2.90	
12.335	2.90	
12.482	2.91	
12.628	2.91	
12.775	2.93	
12.922	2.92	
13.069	2.92	
13.216	2.92	
13.363	2.93	
13.510	2.93	
13.656	2.93	
13.803	2.93	
13.950	2.92	
14.097	2.93	
14.244	2.93	
14.391	2.93	
14.537	2.94	
14.684	2.95	
14.831	2.95	
14.978	2.95	
15.125	2.96	
15.272	2.98	
15.419	2.98	
15.565	2.99	
15.712	2.99	
15.859	2.98	
16.006	2.99	
16.153	3.00	
16.300	3.03	
16.446	3.05	
16.593	3.04	
16.740	3.03	
16.887	3.02	
17.034	3.02	
17.181	3.03	
17.327	3.06	
17.474	3.06	
17.621	3.07	
17.768	3.07	
17.915	3.08	
18.062	3.06	
18.209	3.06	
18.355	3.08	
18.502	3.11	
18.649	3.10	
18.796	3.12	
18.943	3.10	
19.090	3.09	
19.236	3.07	
19.383	3.06	
19.530	3.06	
19.677	3.06	
19.824	3.06	
19.971	3.07	
20.117	3.11	
20.264	3.14	
20.411	3.15	
20.558	3.14	
20.705	3.16	
20.852	3.16	
20.999	3.17	
21.145	3.17	
21.292	3.15	
21.439	3.15	
21.586	3.16	
21.733	3.16	
21.880	3.17	
22.026	3.19	
22.173	3.22	
22.320	3.20	
22.467	3.21	
22.614	3.23	
22.761	3.24	
22.907	3.38	
23.054	3.50	
23.201	3.36	
23.348	3.29	
23.495	3.25	
23.642	3.23	
23.789	3.20	
23.935	3.20	
24.082	3.20	
24.229	3.20	
24.376	3.23	
24.523	3.27	
24.670	3.38	
24.816	3.41	
24.963	3.35	
25.110	3.31	
25.257	3.29	
25.404	3.31	
25.551	3.42	
25.698	3.47	
25.844	3.42	
25.991	3.33	
26.138	3.30	
26.285	3.29	
26.432	3.32	
26.579	3.35	
26.725	3.35	
26.872	3.34	
27.019	3.35	
27.166	3.36	
27.313	3.38	
27.460	3.51	
27.606	3.51	
27.753	3.52	
27.900	3.63	
28.047	3.58	
28.194	3.67	
28.341	3.65	
28.488	3.74	
28.634	3.71	
28.781	3.74	
28.928	3.81	
29.075	3.91	
29.222	3.88	
29.369	3.81	
29.515	3.83	
29.662	4.00	
29.809	4.23	
29.956	4.07	
30.103	4.17	
30.250	4.17	
30.396	4.24	
30.543	4.41	
30.690	4.60	
30.837	4.68	
30.984	4.80	
31.131	5.13	
31.278	5.31	
31.424	5.35	
31.571	5.48	
31.718	5.51	
31.865	5.55	
32.012	5.67	
32.159	5.85	
32.305	5.96	
32.452	5.98	
32.599	6.01	
32.746	6.09	
32.893	6.17	
33.040	6.22	
33.186	6.32	
33.333	6.45	
33.480	6.61	
33.627	6.77	
33.774	6.88	
33.921	6.99	
34.068	7.09	
34.214	7.18	
34.361	7.32	
34.508	7.44	
34.655	7.65	
34.802	7.85	
34.949	8.04	
35.095	8.17	
35.242	8.34	
35.389	8.47	
35.536	8.59	
35.683	8.74	
35.830	8.85	
35.977	8.96	
36.123	9.09	
36.270	9.21	
36.417	9.34	
36.564	9.44	
36.711	9.54	
36.858	9.65	
37.004	9.77	
37.151	9.90	
37.298	10.02	
37.445	10.11	
37.592	10.19	
37.739	10.27	
37.885	10.36	
38.032	10.44	
38.179	10.51	
38.326	10.58	
38.473	10.65	
38.620	10.74	
38.767	10.82	
38.913	10.89	
39.060	10.94	
39.207	11.00	
39.354	11.06	
39.501	11.12	
39.648	11.17	
39.794	11.21	
39.941	11.23	
40.088	11.27	
40.235	11.30	
40.382	11.36	
40.529	11.42	
40.675	11.44	
40.822	11.46	
40.969	11.49	
41.116	11.53	
41.263	11.54	
41.410	11.55	
41.557	11.57	
41.703	11.59	
41.850	11.61	
41.997	11.62	
42.144	11.64	
42.291	11.65	
42.438	11.66	
42.584	11.67	
42.731	11.67	
42.878	11.69	
43.025	11.70	
43.172	11.70	
43.319	11.71	
43.465	11.71	
43.612	11.72	
43.759	11.74	
43.906	11.74	
44.053	11.74	
44.200	11.75	
44.347	11.75	
44.493	11.76	
44.640	11.76	
44.787	11.77	
Vernier Format 2
l4hcl.txt 11/9/2022 12:51:5
Run 3
Volume	pH	
V	p	
mL		

		
